symbol,name,lastSale,marketCap,IPOYear,sector,industry,summaryQuote
STDY,SteadyMed Ltd.,5.6,$76.05M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/stdy
GASS,"StealthGas, Inc.",5.22,$223.88M,2005,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/gass
STLD,"Steel Dynamics, Inc.",21.31,$5.16B,1996,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/stld
SXCL,Steel Excel Inc.,20.96,$242.4M,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/sxcl
SMRT,"Stein Mart, Inc.",10.48,$475.74M,1992,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/smrt
STNR,Steiner Leisure Limited,57.62,$739.71M,1996,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/stnr
STEM,"StemCells, Inc.",0.4225,$44.4M,1992,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/stem
STML,"Stemline Therapeutics, Inc.",10.35,$185.33M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/stml
STXS,"Stereotaxis, Inc.",1.06,$22.23M,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/stxs
SRCL,"Stericycle, Inc.",143.3,$12.19B,1996,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/srcl
STRL,Sterling Construction Company Inc,5.16,$97.44M,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/strl
SHOO,"Steven Madden, Ltd.",39.75,$2.52B,1993,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/shoo
SSFN,Stewardship Financial Corp,5.99,$36.45M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ssfn
STCK,"Stock Building Supply Holdings, Inc.",19.57,$512.27M,2013,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/stck
SYBT,"Stock Yards Bancorp, Inc.",36.99,$547.69M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sybt
BANX,StoneCastle Financial Corp,15.59,$101.42M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/banx
SGBK,Stonegate Bank,30.73,$314.81M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sgbk
SSYS,"Stratasys, Ltd.",28,$1.45B,1994,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/ssys
STRT,Strattec Security Corporation,68.8,$242.19M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/strt
STRS,"Stratus Properties, Inc.",15.15,$122.13M,n/a,Consumer Services,Homebuilding,http://www.nasdaq.com/symbol/strs
STRA,"Strayer Education, Inc.",55.73,$614.61M,1996,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/stra
STRM,"Streamline Health Solutions, Inc.",2.58,$48.14M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/strm
STB,Student Transportation Inc,4.25,$408.6M,n/a,Transportation,Other Transportation,http://www.nasdaq.com/symbol/stb
